article,word,picture,wclass,definition-en,definition-ru,definition-am,gender,section,section_new,portion,catalog,language,weight,description,,,need correction
,trocknen,,verb,dry,сухой,չոր,,A1.2-8,A1.2-2,4,Berliner Platz,German,8,,,,
,umziehen,,verb,move,движение,քայլ,,A1.2-8,A1.2-2,4,Berliner Platz,German,8,,,,
,unterschreiben,,verb,sign,знак,նշան,,A1.2-8,A1.2-2,4,Berliner Platz,German,8,,,,
,verdienen,,verb,earn,зарабатывать,վաստակել,,A1.2-8,A1.2-2,4,Berliner Platz,German,8,,,,
,vermieten,,verb,rent out,аренда,վարձավճար,,A1.2-8,A1.2-2,4,Berliner Platz,German,8,,,,
,hell,,adjective,bright,яркий,պայծառ,,A1.2-8,A1.2-2,1,Berliner Platz,German,8,,,,
,leise,,adjective,quietly,тихо,հանգիստ կերպով,,A1.2-8,A1.2-2,2,Berliner Platz,German,8,,,,
,möbliert,,adjective,furnished,меблированный,կահավորված,,A1.2-8,A1.2-2,3,Berliner Platz,German,8,,,,
,ruhig,,adjective,quiet,тихо,հանգիստ կերպով,,A1.2-8,A1.2-2,3,Berliner Platz,German,8,,,,
,sauber,,adjective,clean,чистый,մաքուր,,A1.2-8,A1.2-2,4,Berliner Platz,German,8,,,,
,warm,,adjective,warm,теплый,ջերմ,,A1.2-8,A1.2-2,4,Berliner Platz,German,8,,,,
,dazu,,other,to that,к,դեպի,,A1.2-8,A1.2-2,1,Berliner Platz,German,8,,,,
,etwa,,other,about,о,մոտ,,A1.2-8,A1.2-2,1,Berliner Platz,German,8,,,,
,netto,,other,nett,сеть,ցանց,,A1.2-8,A1.2-2,2,Berliner Platz,German,8,,,,
,sofort,,other,soon,немедленно,անհապաղ,,A1.2-8,A1.2-2,2,Berliner Platz,German,8,,,,
,verboten,,other,forbidden,запрещено,արգելվում,,A1.2-8,A1.2-2,3,Berliner Platz,German,8,,,,
,zurzeit,,other,currently,в настоящее время,ներկայումս,,A1.2-8,A1.2-2,4,Berliner Platz,German,8,,,,
die,Arbeitsstelle,,noun,working place,работа,աշխատատեղ,,A1.2-9,A1.2-3,1,Berliner Platz,German,9,,,,
der,Angestellte,no,noun,employee,служащий,աշխատակից,,A1.2-9,A1.2-3,1,Berliner Platz,German,9,,,,
die,Ausbildung,no,noun,education,обучение,ուսուցում,,A1.2-9,A1.2-3,1,Berliner Platz,German,9,,,,
der,Beruf,no,noun,profession,профессия,մասնագիտություն,,A1.2-9,A1.2-3,1,Berliner Platz,German,9,,,,
die,Berufsausbildung,no,noun,professional training,профессиональная подготовка,մասնագիտական ​​ուսուցում,,A1.2-9,A1.2-3,1,Berliner Platz,German,9,,,,
der,Geburtsort,no,noun,birthplace,место рождения,ծննդավայր,,A1.2-9,A1.2-3,2,Berliner Platz,German,9,,,,
die,Hauptstadt,no,noun,capilat city,столица,մայրաքաղաք,,A1.2-9,A1.2-3,2,Berliner Platz,German,9,,,,
der,Hunger,no,noun,"hunger
",голод,քաղց,,A1.2-9,A1.2-3,2,Berliner Platz,German,9,,,,
die,Idee,no,noun,idea,идея,գաղափար,,A1.2-9,A1.2-3,2,Berliner Platz,German,9,,,,
der,Kindergarten,,noun,kindergarden,детский сад,մանկապարտեզ,,A1.2-9,A1.2-3,2,Berliner Platz,German,9,,,,
das,Krankenhaus,,noun,hospital,больница,հիվանդանոց,,A1.2-9,A1.2-3,2,Berliner Platz,German,9,,,,
der,Krankenwagen,,noun,ambulance,скорая помощь,շտապօգնություն,,A1.2-9,A1.2-3,3,Berliner Platz,German,9,,,,
der,Lehrgang,no,noun,course,конечно,դասընթաց,,A1.2-9,A1.2-3,3,Berliner Platz,German,9,,,,
das,Picknick,,noun,picknick,пикник,խնջույք,,A1.2-9,A1.2-3,3,Berliner Platz,German,9,,,,
das,Programm,no,noun,programm,программа,ծրագիր,,A1.2-9,A1.2-3,3,Berliner Platz,German,9,,,,
die,Schulbildung,no,noun,education,школьное обучение,կրթություն,,A1.2-9,A1.2-3,3,Berliner Platz,German,9,,,,
der,Schluss,,other,closing,окончательное,վերջնական,,A1.2-9,A1.2-3,3,Berliner Platz,German,9,,,,
der,Test,no,noun,test,тест,թեստ,,A1.2-9,A1.2-3,4,Berliner Platz,German,9,,,,
der,Unfall,,noun,accident,авария,վթար,,A1.2-9,A1.2-3,4,Berliner Platz,German,9,,,,
der,Urlaub,no,noun,vacation,отпуск,տոն,,A1.2-9,A1.2-3,4,Berliner Platz,German,9,,,,
die,Umschulung,no,noun,retraining,переквалификация,վերապատրաստում,,A1.2-9,A1.2-3,4,Berliner Platz,German,9,,,,
der,Wecker,,noun,alarm clock,будильник,Զարթուցիչ,,A1.2-9,A1.2-3,4,Berliner Platz,German,9,,,,
,ausreisen,,verb,leave,отпуск,լքել,,A1.2-9,A1.2-3,1,Berliner Platz,German,9,,,,
,backen,,verb,bake,выпекать,թխել,,A1.2-9,A1.2-3,1,Berliner Platz,German,9,,,,
,bleiben,,verb,remain,остаться,մնալ,,A1.2-9,A1.2-3,1,Berliner Platz,German,9,,,,
,dauern,,verb,last,последний,անցյալ,,A1.2-9,A1.2-3,1,Berliner Platz,German,9,,,,
,fallen,,verb,fall,падение,անկում,,A1.2-9,A1.2-3,2,Berliner Platz,German,9,,,,
,korregieren,,verb,correct,korregieren,korregieren,,A1.2-9,A1.2-3,2,Berliner Platz,German,9,,,,
,lachen,,verb,laugh,смех,ծիծաղել,,A1.2-9,A1.2-3,2,Berliner Platz,German,9,,,,
,mitbringen,,verb,bring with,приносить,բերել,,A1.2-9,A1.2-3,2,Berliner Platz,German,9,,,,
,probieren,,verb,try,пробовать,փորձել,,A1.2-9,A1.2-3,3,Berliner Platz,German,9,,,,
,putzen,,verb,clean,щетка,խոզանակ,,A1.2-9,A1.2-3,3,Berliner Platz,German,9,,,,
,renovieren,,verb,renovate,ремонтировать,նորոգել,,A1.2-9,A1.2-3,3,Berliner Platz,German,9,,,,
,rufen,,verb,call,вызов,կոչ,,A1.2-9,A1.2-3,3,Berliner Platz,German,9,,,,
,singen,,verb,sing,петь,երգելը,,A1.2-9,A1.2-3,4,Berliner Platz,German,9,,,,
,wegbringen,,verb,bring away,унести,բերի հեռու,,A1.2-9,A1.2-3,4,Berliner Platz,German,9,,,,
,überlegen,,verb,consider,превосходный,վերադաս,,A1.2-9,A1.2-3,4,Berliner Platz,German,9,,,,
,wählen,,verb,choose,выбрать,ընտրել,,A1.2-9,A1.2-3,4,Berliner Platz,German,9,,,,
,ziehen,,verb,draw,тянуть,քաշել,,A1.2-9,A1.2-3,4,Berliner Platz,German,9,,,,
,schwach,,adjective,weak,слабый,թույլ,,A1.2-9,A1.2-3,1,Berliner Platz,German,9,,,,
,eigener,,adjective,own,собственный,սեփական,,A1.2-9,A1.2-3,2,Berliner Platz,German,9,,,,
,letzter,,adjective,last,последний,անցյալ,,A1.2-9,A1.2-3,3,Berliner Platz,German,9,,,,
,persönlich,,adjective,personal,лично,անձամբ,,A1.2-9,A1.2-3,4,Berliner Platz,German,9,,,,
,bald,,other,soon,скоро,շուտով,,A1.2-9,A1.2-3,1,Berliner Platz,German,9,,,,
,dieser,,other,this,это,այս,,A1.2-9,A1.2-3,1,Berliner Platz,German,9,,,,
,einfach,,other,just,просто,պարզապես,,A1.2-9,A1.2-3,2,Berliner Platz,German,9,,,,
,genauso,,other,just as,в равной степени,հավասարապես,,A1.2-9,A1.2-3,2,Berliner Platz,German,9,,,,
,gestern,,other,yesterday,вчера,երեկ,,A1.2-9,A1.2-3,3,Berliner Platz,German,9,,,,
,vorgestern,,other,day before yesterday,позавчера,նախորդ օր,,A1.2-9,A1.2-3,3,Berliner Platz,German,9,,,,
,wieder,,other,back,снова,կրկին,,A1.2-9,A1.2-3,4,Berliner Platz,German,9,,,,
,wirklich,,other,really,на самом деле,իրոք,,A1.2-9,A1.2-3,5,Berliner Platz,German,9,,,,
der,Apparat,no,noun,apparatus,Устройство,սարքավորումներ,,A1.2-10,A1.2-4,1,Berliner Platz,German,10,,,,
der,Arbeitsalltag,no,noun,workday,будний день,աշխատանքային օր,,A1.2-10,A1.2-4,1,Berliner Platz,German,10,,,,
die,Arbeitszeit,no,noun,working hours,работа,աշխատանք,,A1.2-10,A1.2-4,1,Berliner Platz,German,10,,,,
der,Betrieb,no,noun,operation,предприятие,վիրահատություն,,A1.2-10,A1.2-4,1,Berliner Platz,German,10,,,,
die,Bewerbung,,noun,application,резюме,դիմում,,A1.2-10,A1.2-4,1,Berliner Platz,German,10,,,,
die,Bezahlung,no,noun,payment,оплата,վճարում,,A1.2-10,A1.2-4,1,Berliner Platz,German,10,,,,
die,Erfahrung,no,noun,experience,опыт,փորձառություն,,A1.2-10,A1.2-4,2,Berliner Platz,German,10,,,,
der,Fehler,no,noun,error,ошибка,սխալ,,A1.2-10,A1.2-4,2,Berliner Platz,German,10,,,,
der,Führerschein,,noun,driving license,лицензия,լիցենզիա,,A1.2-10,A1.2-4,2,Berliner Platz,German,10,,,,
die,Großstadt,no,noun,city,город,քաղաք,,A1.2-10,A1.2-4,2,Berliner Platz,German,10,,,,
die,Hand,,noun,hand,рука,ձեռք,,A1.2-10,A1.2-4,2,Berliner Platz,German,10,,,,
der,Job,no,noun,job,работа,գործ,,A1.2-10,A1.2-4,2,Berliner Platz,German,10,,,,
der,Künstler,,noun,artist,художник,նկարիչ,,A1.2-10,A1.2-4,3,Berliner Platz,German,10,,,,
die,Lohnabrechnung,no,noun,payroll,платежная ведомость,Աշխատավարձային,,A1.2-10,A1.2-4,3,Berliner Platz,German,10,,,,
der,Mechaniker,,noun,mechanic,механик,մեխանիկ,,A1.2-10,A1.2-4,3,Berliner Platz,German,10,,,,
der,Meister,no,noun,champion,мастер,վարպետ,,A1.2-10,A1.2-4,3,Berliner Platz,German,10,,,,
der,Mitarbeiter,no,noun,employee,сотрудник,աշխատակից,,A1.2-10,A1.2-4,3,Berliner Platz,German,10,,,,
die,Stelle,no,noun,location,место,գրասենյակ,,A1.2-10,A1.2-4,3,Berliner Platz,German,10,,,,
der,Stundenlohn,no,noun,hourly wage,почасовой оплаты труда,ժամավճար,,A1.2-10,A1.2-4,4,Berliner Platz,German,10,,,,
das,Team,no,noun,team,команда,թիմ,,A1.2-10,A1.2-4,4,Berliner Platz,German,10,,,,
die,Überstunde,,other,overtime,сверхурочная работа,արտաժամյա,,A1.2-10,A1.2-4,4,Berliner Platz,German,10,,,,
die,Voraussetzung,no,noun,prerequisite,обязательным условием,նախապայման,,A1.2-10,A1.2-4,4,Berliner Platz,German,10,,,,
der,Vorteil,n,other,advantage,преимущество,առավելություն,,A1.2-10,A1.2-4,4,Berliner Platz,German,10,,,,
,beraten,,verb,advise,советовать,խորհուրդ տալ,,A1.2-10,A1.2-4,1,Berliner Platz,German,10,,,,
,bieten,,verb,offer,предложение,առաջարկ,,A1.2-10,A1.2-4,1,Berliner Platz,German,10,,,,
,dabeihaben,,verb,there have,иметь при себе,միաժամանակ,,A1.2-10,A1.2-4,1,Berliner Platz,German,10,,,,
,erfinden,,verb,invent,выдумывать,հնարել,,A1.2-10,A1.2-4,2,Berliner Platz,German,10,,,,
,nachschlagen,,verb,look up,искать,փնտրել,,A1.2-10,A1.2-4,2,Berliner Platz,German,10,,,,
,pflegen,,verb,maintain,поддерживать,պահպանել,,A1.2-10,A1.2-4,2,Berliner Platz,German,10,,,,
,reagieren,,verb,respond,реагировать,արձագանքել,,A1.2-10,A1.2-4,3,Berliner Platz,German,10,,,,
,reparieren,,verb,repair,ремонт,նորոգում,,A1.2-10,A1.2-4,3,Berliner Platz,German,10,,,,
,wechseln,,verb,change,переключатель,անջատիչ,,A1.2-10,A1.2-4,4,Berliner Platz,German,10,,,,
,zusammenarbeiten,,verb,cooperate,сотрудничать,գործակցել,,A1.2-10,A1.2-4,4,Berliner Platz,German,10,,,,
,angenehm,,adjective,pleasant,приятный,հաճելի,,A1.2-10,A1.2-4,1,Berliner Platz,German,10,,,,
,arbeitslos,,adjective,unemployed,безработный,գործազուրկ,,A1.2-10,A1.2-4,1,Berliner Platz,German,10,,,,
,anstrengend,,adjective,exhausting,изнурительный,հոգնեցնող,,A1.2-10,A1.2-4,1,Berliner Platz,German,10,,,,
,beruflich,,adjective,professional,профессиональный,պրոֆեսիոնալ,,A1.2-10,A1.2-4,2,Berliner Platz,German,10,,,,
,freundlich,,adjective,friendly,дружелюбный,բարեկամական,,A1.2-10,A1.2-4,2,Berliner Platz,German,10,,,,
,jung,,adjective,young,молодой,երիտասարդ,,A1.2-10,A1.2-4,2,Berliner Platz,German,10,,,,
,selbstständig,,adjective,independently,независимо,ինքնուրույն,,A1.2-10,A1.2-4,3,Berliner Platz,German,10,,,,
,sicher,,adjective,safe,безопасно,ապահով,,A1.2-10,A1.2-4,3,Berliner Platz,German,10,,,,
,üblich,,adjective,usual,общий,հասարակ,,A1.2-10,A1.2-4,3,Berliner Platz,German,10,,,,
,zentral,,adjective,centrally,централизованно,կենտրոնացված,,A1.2-10,A1.2-4,4,Berliner Platz,German,10,,,,
,zuverlässig,,adjective,reliable,надежный,հուսալի,,A1.2-10,A1.2-4,4,Berliner Platz,German,10,,,,
,brutto,,other,gross,брутто,կոպիտ,,A1.2-10,A1.2-4,1,Berliner Platz,German,10,,,,
,deshalb,,other,therefore,поэтому,ուստի,,A1.2-10,A1.2-4,1,Berliner Platz,German,10,,,,
,gleich,,other,equal,равный,հավասար,,A1.2-10,A1.2-4,2,Berliner Platz,German,10,,,,
,hoffentlich,,other,hopefully,с надеждой,հուսալ,,A1.2-10,A1.2-4,3,Berliner Platz,German,10,,,,
,möglich,,other,possible,возможно,հնարավոր,,A1.2-10,A1.2-4,3,Berliner Platz,German,10,,,,
,nie,,other,never,никогда,երբեք,,A1.2-10,A1.2-4,4,Berliner Platz,German,10,,,,
,sogar,,other,even,даже,նույնիսկ,,A1.2-10,A1.2-4,4,Berliner Platz,German,10,,,,
der,Arm,,noun,arm,рука,բազուկ,,A1.2-11,A1.2-5,1,Berliner Platz,German,11,,,,
der,Arzt,,noun,physician,врач,բժիշկ,,A1.2-11,A1.2-5,1,Berliner Platz,German,11,,,,
das,Auge,,noun,eye,глаз,աչք,,A1.2-11,A1.2-5,1,Berliner Platz,German,11,,,,
der,Bauch,,noun,belly,живот,փոր,,A1.2-11,A1.2-5,1,Berliner Platz,German,11,,,,
das,Bein,,noun,leg,нога,ոտք,,A1.2-11,A1.2-5,1,Berliner Platz,German,11,,,,
die,Beschwerde,no,noun,complaint,совет,խորհուրդ,,A1.2-11,A1.2-5,1,Berliner Platz,German,11,,,,
die,Brust,,noun,chest,грудь,կուրծք,,A1.2-11,A1.2-5,1,Berliner Platz,German,11,,,,
der,Doktor,,noun,doctor,врач,բժիշկ,,A1.2-11,A1.2-5,1,Berliner Platz,German,11,,,,
das,Fieber,no,noun,fever,лихорадка,տենդ,,A1.2-11,A1.2-5,2,Berliner Platz,German,11,,,,
das,Gesicht,,noun,face,лицо,դեմք,,A1.2-11,A1.2-5,2,Berliner Platz,German,11,,,,
die,Grippe,no,noun,flu,грипп,գրիպ,,A1.2-11,A1.2-5,2,Berliner Platz,German,11,,,,
das,Haar,,noun,hair,волосы,մազեր,,A1.2-11,A1.2-5,2,Berliner Platz,German,11,,,,
der,Hals,,noun,neck,горло,պարանոց,,A1.2-11,A1.2-5,2,Berliner Platz,German,11,,,,
die,Haut,,noun,skin,кожа,մաշկ,,A1.2-11,A1.2-5,2,Berliner Platz,German,11,,,,
das,Herz,,noun,heart,сердце,սիրտ,,A1.2-11,A1.2-5,2,Berliner Platz,German,11,,,,
der,Husten,,noun,cough,кашель,հազ,,A1.2-11,A1.2-5,2,Berliner Platz,German,11,,,,
das,Knie,,noun,knee,колено,ծունկ,,A1.2-11,A1.2-5,3,Berliner Platz,German,11,,,,
der,Kopf,,noun,head,голова,ղեկավար,,A1.2-11,A1.2-5,3,Berliner Platz,German,11,,,,
der,Körper,,noun,body,тело,մարմն,,A1.2-11,A1.2-5,3,Berliner Platz,German,11,,,,
die,Mahlzeit,,noun,meal time,еда,կերակուր,,A1.2-11,A1.2-5,3,Berliner Platz,German,11,,,,
das,Medikament,,noun,drug,препарат,դեղ,,A1.2-11,A1.2-5,3,Berliner Platz,German,11,,,,
der,Mund,,noun,mouth,рот,բերան,,A1.2-11,A1.2-5,3,Berliner Platz,German,11,,,,
die,Nase,,noun,nose,нос,քիթ,,A1.2-11,A1.2-5,3,Berliner Platz,German,11,,,,
das,Ohr,,noun,earn,ухо,ականջ,,A1.2-11,A1.2-5,3,Berliner Platz,German,11,,,,
der,Patient,,noun,patient,пациент,հիվանդ,,A1.2-11,A1.2-5,3,Berliner Platz,German,11,,,,
der,Rücken,,verb,back,назад,Վերադառնալ,,A1.2-11,A1.2-5,4,Berliner Platz,German,11,,,,
die,Salbe,,noun,ointment,мазь,քսուք,,A1.2-11,A1.2-5,4,Berliner Platz,German,11,,,,
der,Schmerz,no,noun,pain,боль,ցավ,,A1.2-11,A1.2-5,4,Berliner Platz,German,11,,,,
der,Spaziergang,,verb,walk,прогулка,քայլել,,A1.2-11,A1.2-5,4,Berliner Platz,German,11,,,,
die,Tablette,,noun,pill,таблетка,հաբ,,A1.2-11,A1.2-5,4,Berliner Platz,German,11,,,,
der,Tropfen,no,noun,drop,падение,անկում,,A1.2-11,A1.2-5,4,Berliner Platz,German,11,,,,
der,Zahn,,noun,teeth,зуб,ատամ,,A1.2-11,A1.2-5,4,Berliner Platz,German,11,,,,
,abnehmen,,verb,decrease,снижение,նվազեցում,,A1.2-11,A1.2-5,1,Berliner Platz,German,11,,,,
,erlauben,,verb,permit,позволять,թույլ տալ,,A1.2-11,A1.2-5,1,Berliner Platz,German,11,,,,
,hinfallen,,verb,fall,падение,անկում,,A1.2-11,A1.2-5,2,Berliner Platz,German,11,,,,
,spazieren gehen,,verb,walk,идти гулять,քայլել,,A1.2-11,A1.2-5,2,Berliner Platz,German,11,,,,
,untersuchen,,verb,investigation,расследовать,ուսումնասիրել,,A1.2-11,A1.2-5,3,Berliner Platz,German,11,,,,
,wehtun,,verb,hurt,боль,վնաս,,A1.2-11,A1.2-5,3,Berliner Platz,German,11,,,,
,wiederkommen,,verb,come back,возвращение,վերադարձ,,A1.2-11,A1.2-5,4,Berliner Platz,German,11,,,,
,zunehmen,,verb,increase,увеличить,աճ,,A1.2-11,A1.2-5,4,Berliner Platz,German,11,,,,
,aktiv,,adjective,active,активно,ակտիվորեն,,A1.2-11,A1.2-5,1,Berliner Platz,German,11,,,,
,dick,,adjective,tick,толстый,հաստ,,A1.2-11,A1.2-5,1,Berliner Platz,German,11,,,,
,fit,,adjective,fit,приспосабливать,տեղավորել,,A1.2-11,A1.2-5,1,Berliner Platz,German,11,,,,
,gesund,,adjective,healthy,здоровый,առողջ,,A1.2-11,A1.2-5,2,Berliner Platz,German,11,,,,
,heiß,,adjective,hot,горячий,տաք,,A1.2-11,A1.2-5,2,Berliner Platz,German,11,,,,
,krank,,adjective,ill,плохо,հիվանդ,,A1.2-11,A1.2-5,2,Berliner Platz,German,11,,,,
,regelmäßig,,adjective,regularly,регулярно,պարբերաբար,,A1.2-11,A1.2-5,3,Berliner Platz,German,11,,,,
,schlank,,adjective,slim,стройный,բարակ,,A1.2-11,A1.2-5,3,Berliner Platz,German,11,,,,
,schlimm,,adjective,bad,плохой,վատ,,A1.2-11,A1.2-5,4,Berliner Platz,German,11,,,,
,ungesund,,adjective,unhealthy,нездоровый,անառողջ,,A1.2-11,A1.2-5,4,Berliner Platz,German,11,,,,
,genug,,other,enough,достаточно,բավական,,A1.2-11,A1.2-5,1,Berliner Platz,German,11,,,,
,mindestens,,other,at least,по крайней мере,համենայնդեպս,,A1.2-11,A1.2-5,2,Berliner Platz,German,11,,,,
,stündlich,,other,hourly,почасовой,ամենժամյա,,A1.2-11,A1.2-5,3,Berliner Platz,German,11,,,,
,übermorgen,,other,day after tomorrow,послезавтра,Վաղը չէ մյուս օրը,,A1.2-11,A1.2-5,4,Berliner Platz,German,11,,,,
die,Ankunft,,other,arrival,прибытие,ժամանում,,A1.2-12,A1.2-6,1,Berliner Platz,German,12,,,,
der,Aufzug,,noun,elevator,лифт,վերելակ,,A1.2-12,A1.2-6,1,Berliner Platz,German,12,,,,
die,Durchsage,no,noun,announcement,анонс,Հայտարարություն,,A1.2-12,A1.2-6,1,Berliner Platz,German,12,,,,
das,Einzelzimmer,no,noun,single room,Одноместный номер,մեկ սենյակ,,A1.2-12,A1.2-6,1,Berliner Platz,German,12,,,,
die,Fahrt,,verb,journey,поездка,զբոսանք,,A1.2-12,A1.2-6,1,Berliner Platz,German,12,,,,
die,Fahrkarte,,noun,ticket,билет,տոմս,,A1.2-12,A1.2-6,1,Berliner Platz,German,12,,,,
das,Fenster,,noun,window,окно,պատուհան,,A1.2-12,A1.2-6,1,Berliner Platz,German,12,,,,
der,Flug,no,noun,flight,Полет,չվերթ,,A1.2-12,A1.2-6,2,Berliner Platz,German,12,,,,
der,Flughafen,,noun,airport,аэропорт,օդանավակայան,,A1.2-12,A1.2-6,2,Berliner Platz,German,12,,,,
das,Flugzeug,,noun,airplane,самолет,ինքնաթիռ,,A1.2-12,A1.2-6,2,Berliner Platz,German,12,,,,
die,Freizeit,,other,free time,свободное время,ազատ ժամանակ,,A1.2-12,A1.2-6,2,Berliner Platz,German,12,,,,
der,Gang,no,noun,transition,переход,անցում,,A1.2-12,A1.2-6,2,Berliner Platz,German,12,,,,
das,Gepäck,,noun,luggage,багаж,ուղեբեռ,,A1.2-12,A1.2-6,2,Berliner Platz,German,12,,,,
die,Jahreszeit,no,noun,season,сезон,սեզոն,,A1.2-12,A1.2-6,2,Berliner Platz,German,12,,,,
der,Koffer,,noun,suitcase,чемодан,ճամպրուկ,,A1.2-12,A1.2-6,3,Berliner Platz,German,12,,,,
das,Meer,,noun,sea,море,ծով,,A1.2-12,A1.2-6,3,Berliner Platz,German,12,,,,
die,Pension,no,noun,pension,пенсия,կենսաթոշակ,,A1.2-12,A1.2-6,3,Berliner Platz,German,12,,,,
der,Prospekt,,noun,brochure,брошюра,գրքույկ,,A1.2-12,A1.2-6,3,Berliner Platz,German,12,,,,
die,Reise,no,noun,travel,путешествие,ճամփորդություն,,A1.2-12,A1.2-6,3,Berliner Platz,German,12,,,,
das,Reisebüro,no,noun,travel agency,туристическое агентство,զբոսաշրջային գործակալություն,,A1.2-12,A1.2-6,3,Berliner Platz,German,12,,,,
die,Rezeption,no,noun,reception,прием,ընդունում,,A1.2-12,A1.2-6,3,Berliner Platz,German,12,,,,
der,Schnee,,noun,snow,снег,ձյուն,,A1.2-12,A1.2-6,3,Berliner Platz,German,12,,,,
der,See,,noun,lake,озеро,լիճ,,A1.2-12,A1.2-6,4,Berliner Platz,German,12,,,,
die,Sonne,,noun,sun,солнце,արեւ,,A1.2-12,A1.2-6,4,Berliner Platz,German,12,,,,
der,Strand,,noun,beach,пляж,լողափ,,A1.2-12,A1.2-6,4,Berliner Platz,German,12,,,,
die,Übernachtung,,verb,overnight stay,переночевание,գիշերել,,A1.2-12,A1.2-6,4,Berliner Platz,German,12,,,,
die,Verbindung,no,noun,connection,связь,կապ,,A1.2-12,A1.2-6,4,Berliner Platz,German,12,,,,
das,Wetter,no,noun,weather,Погода,եղանակ,,A1.2-12,A1.2-6,4,Berliner Platz,German,12,,,,
der,Wind,no,noun,wind,ветер,քամի,,A1.2-12,A1.2-6,4,Berliner Platz,German,12,,,,
die,Wolke,,noun,cloud,облако,ամպ,,A1.2-12,A1.2-6,4,Berliner Platz,German,12,,,,
,abfliegen,,verb,depart,отходить,հեռանալ,,A1.2-12,A1.2-6,1,Berliner Platz,German,12,,,,
,ausgeben,,verb,spend,тратить,ծախսել,,A1.2-12,A1.2-6,1,Berliner Platz,German,12,,,,
,buchen,,verb,book,бронировать,պատվիրել,,A1.2-12,A1.2-6,1,Berliner Platz,German,12,,,,
,einsteigen,,verb,enter,входить,մտնել,,A1.2-12,A1.2-6,1,Berliner Platz,German,12,,,,
,empfehlen,,verb,recommend,рекомендовать,խորհուրդ տալ,,A1.2-12,A1.2-6,2,Berliner Platz,German,12,,,,
,fliegen,,verb,fly,летать,թռչել,,A1.2-12,A1.2-6,2,Berliner Platz,German,12,,,,
,mitfahren,,verb,co-drive,ездить,զբոսանք,,A1.2-12,A1.2-6,2,Berliner Platz,German,12,,,,
,regnen,,verb,rain,дождь,անձրեւ,,A1.2-12,A1.2-6,2,Berliner Platz,German,12,,,,
,reisen,,verb,travel,путешествие,ճանապարհորդություն,,A1.2-12,A1.2-6,3,Berliner Platz,German,12,,,,
,reservieren,,verb,reserve/book,резерв,ռեզերվ,,A1.2-12,A1.2-6,3,Berliner Platz,German,12,,,,
,scheinen,,verb,appear,появиться,հայտնվել,,A1.2-12,A1.2-6,3,Berliner Platz,German,12,,,,
,schneien,,verb,snow,снег,ձյուն,,A1.2-12,A1.2-6,3,Berliner Platz,German,12,,,,
,sparen,,verb,save,экономить,փրկել,,A1.2-12,A1.2-6,4,Berliner Platz,German,12,,,,
,verreisen,,verb,go away,уйти,հեռացիր,,A1.2-12,A1.2-6,4,Berliner Platz,German,12,,,,
,wandern,,verb,hike,поход,զբոսանք,,A1.2-12,A1.2-6,4,Berliner Platz,German,12,,,,
,zurückfahren,,verb,drive back,возвращаться,վերադառնալ,,A1.2-12,A1.2-6,4,Berliner Platz,German,12,,,,
,günstig,,adjective,cheap,благоприятный,բարենպաստ,,A1.2-12,A1.2-6,1,Berliner Platz,German,12,,,,
,kalt,,adjective,cold,холодный,ցուրտ,,A1.2-12,A1.2-6,1,Berliner Platz,German,12,,,,
,nass,,adjective,wet,влажный,թաց,,A1.2-12,A1.2-6,2,Berliner Platz,German,12,,,,
,pünktlich,,adjective,punctual,пунктуально,պարտաճանաչորեն,,A1.2-12,A1.2-6,2,Berliner Platz,German,12,,,,
,selten,,adjective,rear,редко,հազվադեպ,,A1.2-12,A1.2-6,3,Berliner Platz,German,12,,,,
,schmal,,adjective,narrow,узкий,նեղ,,A1.2-12,A1.2-6,3,Berliner Platz,German,12,,,,
,warm,,adjective,warm,теплый,ջերմ,,A1.2-12,A1.2-6,4,Berliner Platz,German,12,,,,
,windig,,adjective,windy,ветреный,քամոտ,,A1.2-12,A1.2-6,4,Berliner Platz,German,12,,,,
,ab wann,,other,from when,с какого времени,"սկսած, երբ",,A1.2-12,A1.2-6,1,Berliner Platz,German,12,,,,
,in bar,,other,in cash,в баре,է կանխիկ,,A1.2-12,A1.2-6,2,Berliner Platz,German,12,,,,
,einige,,other,some,некоторые,մի քանի,,A1.2-12,A1.2-6,3,Berliner Platz,German,12,,,,
,hin und zurück,,other,back and forth,туда и обратно,ետ եւ առաջ,,A1.2-12,A1.2-6,4,Berliner Platz,German,12,,,,
die,Angst,no,noun,fear,страх,վախ,,A2.1-1,A2.1-1,2,Tangram 2,German,13,,,,
die,Bekannte,no,noun,acquaintance,знакомый,ծանոթ,,A2.1-1,A2.1-1,3,Tangram 2,German,13,,,,
die,Form,no,noun,form,форма,ձեւ,,A2.1-1,A2.1-1,4,Tangram 2,German,13,,,,
die,Freundschaft,no,noun,friendship,дружба,բարեկամություն,,A2.1-1,A2.1-1,5,Tangram 2,German,13,,,,
die,Geburt,no,noun,birth,рождение,ծնունդ,,A2.1-1,A2.1-1,1,Tangram 2,German,13,,,,
der,Grund,no,noun,reason,причина,պատճառ,,A2.1-1,A2.1-1,2,Tangram 2,German,13,,,,
der,Inhalt,no,noun,content,содержание,բովանդակություն,,A2.1-1,A2.1-1,3,Tangram 2,German,13,,,,
die,Jugend,no,noun,youth,молодежь,երիտասարդություն,,A2.1-1,A2.1-1,4,Tangram 2,German,13,,,,
